text,language,source,original_id,timestamp,is_code_mixed,mixed_languages,annotator,quality_score
ubu umbona ndi kuri move,kinyarwanda,,,,False,,,
ntabwo wambona ntakora testing,kinyarwanda,,,,False,,,
"Muraho, amakuru yanyu?",kinyarwanda,,,,False,,,
Ndagukunda cyane.,kinyarwanda,,,,False,,,
Mwaramutse neza?,kinyarwanda,,,,False,,,
Mwiriwe amahoro?,kinyarwanda,,,,False,,,
Umunsi mwiza.,kinyarwanda,,,,False,,,
Umunyarwanda yumva ururimi rwe neza.,kinyarwanda,,,,False,,,
Igihugu cyacu ni kiza.,kinyarwanda,,,,False,,,
Tuzakomeza gutera imbere.,kinyarwanda,,,,False,,,
Amafaranga menshi azaza.,kinyarwanda,,,,False,,,
Ibyo uvuze nibyo.,kinyarwanda,,,,False,,,
Ndabyumva neza cyane.,kinyarwanda,,,,False,,,
Ntabwo numva icyo uvuze.,kinyarwanda,,,,False,,,
Ibiryo biryoshye cyane.,kinyarwanda,,,,False,,,
Nzaza ejo mu gitondo.,kinyarwanda,,,,False,,,
Ubuzima bwiza ni ingenzi.,kinyarwanda,,,,False,,,
Abana biga neza.,kinyarwanda,,,,False,,,
Imana ibane nawe.,kinyarwanda,,,,False,,,
Twese turi kumwe.,kinyarwanda,,,,False,,,
Ndaseka cyane.,kinyarwanda,,,,False,,,
Turaza guhura ryari?,kinyarwanda,,,,False,,,
Amazi ni ingenzi ku buzima bwacu bwose.,kinyarwanda,,,,False,,,
Umukino utangira saa tatu z'amanywa.,kinyarwanda,,,,False,,,
Umuryango wanjye ni mwiza cyane kandi tubanye neza.,kinyarwanda,,,,False,,,
Ikiganiro cyacu kiragenda neza uyu munsi.,kinyarwanda,,,,False,,,
Ndagukumbura cyane kuva aho ugendeye,kinyarwanda,,,,False,,,
Ndakwishimira cyane kubera ibyo wakoze byose.,kinyarwanda,,,,False,,,
Amashuri yigisha neza abana bacu.,kinyarwanda,,,,False,,,
Umurima wacu urera neza.,kinyarwanda,,,,False,,,
Nzava mu modoka vuba cyane.,kinyarwanda,,,,False,,,
Ndasoma igitabo cyiza cyanditswe n'umwanditsi w'umunyarwanda.,kinyarwanda,,,,False,,,
Bukeye abona agasozi kari gateganye n’urugo rw’Umwami,kinyarwanda,,,,False,,,
kakabuza abantu kureba ibituruka kure,kinyarwanda,,,,False,,,
Semuhanuka araza abwira Umwami ati.,kinyarwanda,,,,False,,,
urampe inka y’ingumba maze nzagukurireho kariya gasozi,kinyarwanda,,,,False,,,
nyoroshya mpa ibyo umpa maze uzirorere,kinyarwanda,,,,False,,,
Semuhanuka aza yakenyeye bya gasurantambara,kinyarwanda,,,,False,,,
"yitwaje ikibando, yikoreye ingata nini ifashe ku mutwe wose",kinyarwanda,,,,False,,,
araza n’i bwami ahasanga abantu benshi,kinyarwanda,,,,False,,,
mbwirira aba bantu bamperekeze hariya hari icyo njya kubabwira,kinyarwanda,,,,False,,,
Semuhanuka amaguru aba ariyo abangira ingata asubira ibwami,kinyarwanda,,,,False,,,
Ababiri bagiye inama baruta umunani barasana,kinyarwanda,,,,False,,,
Ababiri bakika umwe,kinyarwanda,,,,False,,,
Ababiri bateranya abeza,kinyarwanda,,,,False,,,
Ababiri bica umwe,kinyarwanda,,,,False,,,
Ababiri ntibacibwa inka,kinyarwanda,,,,False,,,
Abacuranye ubusa basangira ubundi,kinyarwanda,,,,False,,,
Abadapfuye ntibabura kubonana,kinyarwanda,,,,False,,,
Abagabo babiri ntibabana mu nzu imwe.,kinyarwanda,,,,False,,,
Abagabo bararya imbwa zikishyura (zikaryora).,kinyarwanda,,,,False,,,
Abagira amenyo baraseka.,kinyarwanda,,,,False,,,
Abagira inyonjo bagira ibirori.,kinyarwanda,,,,False,,,
Abagira iyo bajya baragenda.,kinyarwanda,,,,False,,,
Ab’imbwa bifuza ko budacya.,kinyarwanda,,,,False,,,
Aboro babiri ntibasangira umwerera.,kinyarwanda,,,,False,,,
Abonye isha itamba ata n’urwo yari yambaye.,kinyarwanda,,,,False,,,
Abotanye kera ntibahishanya amabya.,kinyarwanda,,,,False,,,
Abo umwami yahaye amata ni bo bamwimye amatwi.,kinyarwanda,,,,False,,,
Abwirwa benshi akumva bene yo.,kinyarwanda,,,,False,,,
Acuritse inkanda ntacuritse umutima.,kinyarwanda,,,,False,,,
