text,language,source,original_id,timestamp,is_code_mixed,mixed_languages,annotator,quality_score
ubu umbona ndi kuri move,kinyarwanda,n/a,n/a,,False,,n/a,
ntabwo wambona ntakora testing,kinyarwanda,n/a,n/a,,False,,n/a,
"Muraho, amakuru yanyu?",kinyarwanda,n/a,n/a,,False,,n/a,
Ndagukunda cyane.,kinyarwanda,n/a,n/a,,False,,n/a,
Mwaramutse neza?,kinyarwanda,n/a,n/a,,False,,n/a,
Mwiriwe amahoro?,kinyarwanda,n/a,n/a,,False,,n/a,
Umunsi mwiza.,kinyarwanda,n/a,n/a,,False,,n/a,
Umunyarwanda yumva ururimi rwe neza.,kinyarwanda,n/a,n/a,,False,,n/a,
Igihugu cyacu ni kiza.,kinyarwanda,n/a,n/a,,False,,n/a,
Tuzakomeza gutera imbere.,kinyarwanda,n/a,n/a,,False,,n/a,
Amafaranga menshi azaza.,kinyarwanda,n/a,n/a,,False,,n/a,
Ibyo uvuze nibyo.,kinyarwanda,n/a,n/a,,False,,n/a,
Ndabyumva neza cyane.,kinyarwanda,n/a,n/a,,False,,n/a,
Ntabwo numva icyo uvuze.,kinyarwanda,n/a,n/a,,False,,n/a,
Ibiryo biryoshye cyane.,kinyarwanda,n/a,n/a,,False,,n/a,
Nzaza ejo mu gitondo.,kinyarwanda,n/a,n/a,,False,,n/a,
Ubuzima bwiza ni ingenzi.,kinyarwanda,n/a,n/a,,False,,n/a,
Abana biga neza.,kinyarwanda,n/a,n/a,,False,,n/a,
Imana ibane nawe.,kinyarwanda,n/a,n/a,,False,,n/a,
Twese turi kumwe.,kinyarwanda,n/a,n/a,,False,,n/a,
Ndaseka cyane.,kinyarwanda,n/a,n/a,,False,,n/a,
Turaza guhura ryari?,kinyarwanda,n/a,n/a,,False,,n/a,
Amazi ni ingenzi ku buzima bwacu bwose.,kinyarwanda,n/a,n/a,,False,,n/a,
Umukino utangira saa tatu z'amanywa.,kinyarwanda,n/a,n/a,,False,,n/a,
Umuryango wanjye ni mwiza cyane kandi tubanye neza.,kinyarwanda,n/a,n/a,,False,,n/a,
Ikiganiro cyacu kiragenda neza uyu munsi.,kinyarwanda,n/a,n/a,,False,,n/a,
Ndagukumbura cyane kuva aho ugendeye,kinyarwanda,n/a,n/a,,False,,n/a,
Ndakwishimira cyane kubera ibyo wakoze byose.,kinyarwanda,n/a,n/a,,False,,n/a,
Amashuri yigisha neza abana bacu.,kinyarwanda,n/a,n/a,,False,,n/a,
Umurima wacu urera neza.,kinyarwanda,n/a,n/a,,False,,n/a,
Nzava mu modoka vuba cyane.,kinyarwanda,n/a,n/a,,False,,n/a,
Ndasoma igitabo cyiza cyanditswe n'umwanditsi w'umunyarwanda.,kinyarwanda,n/a,n/a,,False,,n/a,
Bukeye abona agasozi kari gateganye n’urugo rw’Umwami,kinyarwanda,n/a,n/a,,False,,n/a,
kakabuza abantu kureba ibituruka kure,kinyarwanda,n/a,n/a,,False,,n/a,
Semuhanuka araza abwira Umwami ati.,kinyarwanda,n/a,n/a,,False,,n/a,
urampe inka y’ingumba maze nzagukurireho kariya gasozi,kinyarwanda,n/a,n/a,,False,,n/a,
nyoroshya mpa ibyo umpa maze uzirorere,kinyarwanda,n/a,n/a,,False,,n/a,
Semuhanuka aza yakenyeye bya gasurantambara,kinyarwanda,n/a,n/a,,False,,n/a,
"yitwaje ikibando, yikoreye ingata nini ifashe ku mutwe wose",kinyarwanda,n/a,n/a,,False,,n/a,
araza n’i bwami ahasanga abantu benshi,kinyarwanda,n/a,n/a,,False,,n/a,
mbwirira aba bantu bamperekeze hariya hari icyo njya kubabwira,kinyarwanda,n/a,n/a,,False,,n/a,
Semuhanuka amaguru aba ariyo abangira ingata asubira ibwami,kinyarwanda,n/a,n/a,,False,,n/a,
Ababiri bagiye inama baruta umunani barasana,kinyarwanda,n/a,n/a,,False,,n/a,
Ababiri bakika umwe,kinyarwanda,n/a,n/a,,False,,n/a,
Ababiri bateranya abeza,kinyarwanda,n/a,n/a,,False,,n/a,
Ababiri bica umwe,kinyarwanda,n/a,n/a,,False,,n/a,
Ababiri ntibacibwa inka,kinyarwanda,n/a,n/a,,False,,n/a,
Abacuranye ubusa basangira ubundi,kinyarwanda,n/a,n/a,,False,,n/a,
Abadapfuye ntibabura kubonana,kinyarwanda,n/a,n/a,,False,,n/a,
Abagabo babiri ntibabana mu nzu imwe.,kinyarwanda,n/a,n/a,,False,,n/a,
Abagabo bararya imbwa zikishyura (zikaryora).,kinyarwanda,n/a,n/a,,False,,n/a,
Abagira amenyo baraseka.,kinyarwanda,n/a,n/a,,False,,n/a,
Abagira inyonjo bagira ibirori.,kinyarwanda,n/a,n/a,,False,,n/a,
Abagira iyo bajya baragenda.,kinyarwanda,n/a,n/a,,False,,n/a,
Ab’imbwa bifuza ko budacya.,kinyarwanda,n/a,n/a,,False,,n/a,
Aboro babiri ntibasangira umwerera.,kinyarwanda,n/a,n/a,,False,,n/a,
Abonye isha itamba ata n’urwo yari yambaye.,kinyarwanda,n/a,n/a,,False,,n/a,
Abotanye kera ntibahishanya amabya.,kinyarwanda,n/a,n/a,,False,,n/a,
Abo umwami yahaye amata ni bo bamwimye amatwi.,kinyarwanda,n/a,n/a,,False,,n/a,
Abwirwa benshi akumva bene yo.,kinyarwanda,n/a,n/a,,False,,n/a,
Acuritse inkanda ntacuritse umutima.,kinyarwanda,n/a,n/a,,False,,n/a,
Agaca amakungu ni ukwima uwarugendagamo.,kinyarwanda,n/a,n/a,,False,,n/a,
"Agacumu gahabwa agahari, naho agahararutswe gahabwa agahini.",kinyarwanda,n/a,n/a,,False,,n/a,
Agahanga k’umugabo gahangurwa n’uwakaremye.,kinyarwanda,n/a,n/a,,False,,n/a,
Agahararo ntikabuza agahararuko.,kinyarwanda,n/a,n/a,,False,,n/a,
Agahinda gashira bake.,kinyarwanda,n/a,n/a,,False,,n/a,
Agahinda k’inkoko kamenya inkike yatoyemo.,kinyarwanda,n/a,n/a,,False,,n/a,
Agahinda k’inkono kamenywa n’uwayiharuye.,kinyarwanda,n/a,n/a,,False,,n/a,
Agahinda ntigashira; gashira nyirako yapfuye.,kinyarwanda,n/a,n/a,,False,,n/a,
Agahinda ntikajya ahabona.,kinyarwanda,n/a,n/a,,False,,n/a,
